,date,place,one_unit_bldgs,one_unit_units,one_unit_value,two_unit_bldgs,two_unit_units,two_unit_value,three_unit_bldgs,three_unit_units,three_unit_value,five_unit_bldgs,five_unit_units,five_unit_value,medium,large,large21,control,pop_19,treatment,one_unit_bldgs_21,two_unit_bldgs_21,three_unit_bldgs_21,five_unit_bldgs_21,one_unit_bldgs_20,two_unit_bldgs_20,three_unit_bldgs_20,five_unit_bldgs_20,pop_growth,under_eighteen_2022,white_2022,black_2022,hisp_2022,race_other_2022,median_income_2022,pct_renter_2022,bach_edu_2022
16,2023-01-01,Corvallis,1.1717754946081345,1.1717754946081345,22362306,0.10189352127027257,0.20378704254054514,4106051,0.016982253545045428,0.06792901418018171,917796,0.20378704254054514,4.3814214146217205,39169174,0,1,0,0,58885,Large,2.4454445104865417,0.016982253545045428,0.050946760635136285,0.0,0.9000594378874077,0.0,0.0,0.033964507090090856,0.9028032806953116,13.0,74.4,1.6,8.7,15.299999999999994,101333.0,58.95129533678757,60.4
17,2023-01-01,Cottage Grove,0.6903353057199211,0.6903353057199211,2430681,0.0,0.0,0,0.0,0.0,0,0.09861932938856015,1.1834319526627217,2064958,1,0,0,0,10140,Medium,2.662721893491124,0.09861932938856015,0.09861932938856015,1.0848126232741617,1.8737672583826428,0.1972386587771203,0.09861932938856015,0.0,0.4980250729864331,21.3,78.3,0.9,10.2,10.600000000000005,67326.0,40.57007125890736,20.2
18,2023-01-01,Creswell,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.18148820326678766,4.900181488203267,750000,0,0,0,1,5510,Control,2.722323049001815,0.18148820326678766,0.544464609800363,0.3629764065335753,1.8148820326678767,0.0,0.0,0.0,1.0603048376408217,22.1,87.4,0.0,4.2,8.399999999999995,94239.0,28.12960235640648,25.1
19,2023-01-01,Dallas,7.195571955719556,7.195571955719556,33597592,0.0,0.0,0,0.0,0.0,0,0.12300123001230011,0.9840098400984009,2232504,1,0,0,0,16260,Medium,8.610086100861007,0.061500615006150054,0.0,0.12300123001230011,8.056580565805657,0.0,0.0,0.0,1.2717995582971593,20.4,81.7,1.3,8.6,8.399999999999997,86364.0,30.99273607748184,23.8
20,2023-01-01,Dayton,0.7299270072992701,0.7299270072992701,522960,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,1,2740,Control,3.64963503649635,0.0,0.0,0.0,2.9197080291970803,0.0,0.0,0.0,0.898531667762437,25.1,58.3,0.0,40.7,1.0,75110.0,20.914127423822716,22.7
21,2023-01-01,Depoe Bay,4.1522491349480966,4.1522491349480966,2160140,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,1,1445,Control,6.920415224913494,0.0,0.0,0.0,2.0761245674740483,0.0,0.0,0.0,0.35714285714285715,9.5,92.9,0.0,5.1,1.9999999999999947,92625.0,27.83203125,35.5
22,2023-01-01,Dundee,0.6182380216383307,0.6182380216383307,1219947,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,1,3235,Control,0.3091190108191654,0.0,0.0,0.0,0.6182380216383307,0.0,0.0,0.0,0.2278303540133193,28.0,75.9,0.1,17.4,6.599999999999994,123523.0,10.555555555555555,35.6
23,2023-01-01,Dunes City,5.947955390334573,5.947955390334573,3657484,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,1,1345,Control,5.947955390334573,0.0,0.0,0.0,2.9739776951672865,0.0,0.0,0.0,0.34057045551298426,7.8,84.7,0.0,3.7,11.599999999999998,100625.0,20.25518341307815,31.2
24,2023-01-01,Durham,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,1,0,0,1885,Large,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.346043460434604,18.3,63.2,1.0,23.0,12.799999999999997,104464.0,58.28437132784959,47.6
25,2023-01-01,Eagle Point,3.347732181425486,3.347732181425486,11392279,0.0,0.0,0,0.32397408207343414,0.9719222462203024,2679715,0.0,0.0,0,0,0,0,1,9260,Control,8.963282937365012,0.2159827213822894,0.1079913606911447,0.0,7.019438444924406,0.1079913606911447,0.0,0.0,1.0363373999737635,29.2,85.6,1.5,10.1,2.800000000000006,70332.0,29.024045261669023,16.9
26,2023-01-01,Estacada,15.838926174496644,15.838926174496644,23589532,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,1,3725,Control,61.47651006711409,0.0,0.0,0.0,33.557046979865774,0.0,0.0,0.0,4.04965404965405,26.3,93.0,0.1,0.8,6.1000000000000005,85854.0,12.928759894459104,16.0
27,2023-01-01,Florence,1.92090395480226,1.92090395480226,4808904,0.0,0.0,0,0.0,0.0,0,0.4519774011299435,2.7118644067796613,6641037,0,0,0,1,8850,Control,3.615819209039548,0.0,0.0,0.0,6.327683615819209,0.0,0.0,0.0,0.5053488219465774,14.0,88.6,1.6,5.1,4.700000000000006,68076.0,34.74075694596368,25.1
28,2023-01-01,Forest Grove,2.3034154090548054,2.3034154090548054,24567223,0.07942811755361398,0.15885623510722796,1024534,0.0,0.0,0,0.0,0.0,0,0,1,0,0,25180,Large,5.281969817315329,0.3574265289912629,0.0,0.5162827640984908,3.534551231135822,0.0,0.0,0.0,2.1296734500709893,23.8,63.4,1.0,29.4,6.200000000000003,101408.0,37.756783477974295,33.4
29,2023-01-01,Gearhart,5.901639344262295,5.901639344262295,8292926,0.0,0.0,0,0.6557377049180328,2.6229508196721314,969718,0.0,0.0,0,0,0,0,1,1525,Control,18.36065573770492,0.6557377049180328,0.0,0.0,18.36065573770492,0.6557377049180328,0.0,0.0,0.4550625711035267,21.8,87.7,0.1,7.1,5.099999999999998,117566.0,14.035087719298245,43.3
30,2023-01-01,Happy Valley,9.493087557603687,9.493087557603687,81312509,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,1,0,0,21700,Large,17.557603686635947,0.0,0.0,0.0,20.414746543778804,0.0,0.0,0.1382488479262673,5.98896769109535,27.5,65.0,0.9,6.1,28.0,139850.0,16.642120765832107,48.6
31,2023-01-01,Harrisburg,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.2717391304347826,1.358695652173913,725000,0,0,0,1,3680,Control,1.6304347826086956,0.0,0.0,0.2717391304347826,1.0869565217391304,0.0,0.0,0.5434782608695652,0.35842293906810035,31.2,86.0,0.2,7.8,6.000000000000001,59792.0,24.075531077891423,10.8
32,2023-01-01,Hermiston,3.746945424925333,3.746945424925333,17536677,0.21721422753190334,0.4344284550638067,1684689,0.0,0.0,0,0.0,0.0,0,1,0,0,0,18415,Medium,6.13630192777627,0.0,0.0,0.0,4.778713005701873,0.0,0.0,0.0,1.0717475439118784,29.7,41.5,1.3,52.2,5.0,76327.0,38.772706457029464,16.5
33,2023-01-01,Hood River,1.2040939193257074,1.2040939193257074,2365992,0.12040939193257075,0.2408187838651415,949768,0.0,0.0,0,0.0,0.0,0,0,0,0,1,8305,Control,2.408187838651415,0.2408187838651415,0.0,0.0,3.0102347983142685,0.6020469596628537,0.0,0.0,1.7409470752089136,22.2,66.8,1.5,24.2,7.5000000000000036,97589.0,47.69230769230769,42.9
34,2023-01-01,Independence,2.833158447009444,2.833158447009444,7162223,0.41972717733473247,0.8394543546694649,2419319,0.0,0.0,0,0.0,0.0,0,0,0,0,1,9530,Control,6.8205666316894025,0.0,0.0,0.0,6.190975865687304,0.0,0.0,0.0,1.2015503875968991,25.6,55.7,0.6,38.2,5.499999999999993,75924.0,40.691489361702125,20.8
35,2023-01-01,Irrigon,4.433497536945813,4.433497536945813,1827876,1.4778325123152711,2.9556650246305423,972210,0.0,0.0,0,0.0,0.0,0,0,0,0,1,2030,Control,5.9113300492610845,0.4926108374384237,0.0,0.0,0.9852216748768474,0.0,0.0,0.0,1.248097412480974,27.7,56.7,1.1,36.0,6.199999999999996,71875.0,22.37237237237237,7.4
36,2023-01-01,Jacksonville,2.6533996683250414,2.6533996683250414,2462820,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,1,3015,Control,2.6533996683250414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9176142030720128,9.9,93.8,0.2,4.4,1.6000000000000023,116250.0,37.691794529686454,43.1
37,2023-01-01,Junction City,15.721231766612641,15.721231766612641,37448595,1.2965964343598055,2.593192868719611,3151512,0.0,0.0,0,0.0,0.0,0,0,0,0,1,6170,Control,0.3241491085899514,0.1620745542949757,0.0,0.0,0.3241491085899514,1.4586709886547813,0.0,2.593192868719611,1.5142214037241661,20.4,82.6,0.0,11.8,5.600000000000005,87880.0,40.76479076479077,19.0
38,2023-01-01,Keizer,0.4924831518921721,0.4924831518921721,3961898,0.38880248833592534,0.7776049766718507,7594703,0.05184033177812338,0.18144116122343185,1726434,0.18144116122343185,1.944012441679627,11577229,0,1,0,0,38580,Large,0.6480041472265423,0.07776049766718507,0.0,0.07776049766718507,0.673924313115604,0.0,0.0,0.07776049766718507,0.6107009388387568,24.9,67.6,0.8,24.3,7.300000000000004,89069.0,36.76460176991151,25.8
39,2023-01-01,King City,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,1,1,0,4190,Large,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.834492598537542,11.9,79.8,2.9,8.1,9.200000000000005,94536.0,21.476261127596437,34.7
40,2023-01-01,La Grande,1.2039127163280663,1.2039127163280663,4142053,0.1504890895410083,0.3009781790820166,1033744,0.0,0.0,0,0.0,0.0,0,1,0,0,0,13290,Medium,1.9563581640331078,0.0,0.0,0.8276899924755455,1.1286681715575622,0.3009781790820166,0.0,0.0,0.16545755377370497,22.9,84.7,1.0,6.3,7.999999999999997,65928.0,46.84770224078997,22.9
41,2023-01-01,Lafayette,4.606060606060606,4.606060606060606,5866671,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,1,4125,Control,3.1515151515151514,0.0,0.0,0.0,0.48484848484848486,0.48484848484848486,0.0,0.0,1.1437908496732025,24.7,67.5,0.0,26.6,5.899999999999999,95292.0,11.11111111111111,18.1
42,2023-01-01,Lake Oswego,0.5368784353828454,0.5368784353828454,15207971,0.0,0.0,0,0.07669691934040648,0.30678767736162593,2677628,0.0,0.0,0,0,1,0,0,39115,Large,1.2015850696663684,0.0,0.0,0.0,1.6362009459286717,0.0,0.0,0.0,0.7573481890093485,22.7,78.3,1.1,4.8,15.8,166154.0,29.89368730854706,73.0
43,2023-01-01,Lakeside,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,1,1750,Control,1.1428571428571428,0.0,0.0,0.0,2.857142857142857,0.0,0.0,0.0,0.3605375286791216,11.9,88.8,0.0,2.8,8.400000000000002,70962.0,18.833535844471445,12.3
44,2023-01-01,Lebanon,2.042602859644003,2.042602859644003,9676506,0.9921213889699445,1.984242777939889,8385318,0.05836008170411438,0.17508024511234313,276462,0.11672016340822876,1.1672016340822875,2508681,1,0,0,0,17135,Medium,3.1514444120221765,0.35016049022468626,0.0,0.7003209804493725,1.8091625328275458,0.758681062153487,0.17508024511234313,0.9337613072658301,1.1522633744855968,21.4,84.3,0.1,9.6,6.0000000000000036,61770.0,47.34513274336283,20.2
45,2023-01-01,Lincoln City,5.79874928936896,5.79874928936896,18194760,0.2274019329164298,0.4548038658328596,773763,0.0,0.0,0,0.1137009664582149,1.023308698123934,828899,0,0,0,1,8795,Control,6.02615122228539,0.0,0.0,0.0,4.206935758953951,0.1137009664582149,0.0,0.34110289937464466,1.2042288034726598,16.3,78.6,0.2,10.1,11.100000000000007,67448.0,40.10720111862037,28.1
46,2023-01-01,Lowell,11.926605504587155,11.926605504587155,3632367,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,1,1090,Control,13.761467889908255,0.0,0.0,0.0,3.6697247706422016,0.0,0.0,0.0,0.4784688995215311,20.1,93.6,0.0,2.0,4.400000000000006,78750.0,26.86868686868687,15.5
47,2023-01-01,Lyons,3.3333333333333335,3.3333333333333335,441972,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,1,1200,Control,2.5,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.3831417624521073,15.4,89.4,0.1,4.0,6.499999999999995,103625.0,13.976377952755906,15.7
48,2023-01-01,McMinnville,3.919834954317713,3.919834954317713,45805554,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,1,0,0,33930,Large,4.21455938697318,0.0,0.0,0.0,4.12614205717654,0.29472443265546716,0.0,0.0,0.5824372759856631,22.2,72.1,0.4,18.5,9.000000000000007,85955.0,38.45736013036393,26.7
49,2023-01-01,Medford,3.9526176885779165,3.9526176885779165,101839701,0.049100840851899585,0.09820168170379917,1185950,0.03682563063892469,0.14730252255569876,1324370,0.46645798809304606,5.9657521635058,82302483,0,1,0,0,81465,Large,3.903516847726017,0.08592647149082427,0.0,0.049100840851899585,3.2529307064383475,0.024550420425949793,0.0,0.024550420425949793,0.9609970066091699,22.6,74.8,0.9,16.6,7.700000000000003,80396.0,45.27207196647816,28.4
50,2023-01-01,Mill City,2.6595744680851063,2.6595744680851063,1428625,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,1,1880,Control,3.7234042553191493,0.0,0.0,0.0,1.595744680851064,0.0,0.0,0.0,0.1497454327643007,29.2,81.0,1.0,5.1,12.9,76295.0,25.963149078726968,10.2
51,2023-01-01,Millersburg,13.384321223709367,13.384321223709367,10425232,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,1,2615,Control,13.0019120458891,0.0,0.0,0.0,35.56405353728489,0.0,0.0,0.0,10.491532424617926,28.6,89.8,0.9,4.0,5.3000000000000025,131513.0,4.627006610009443,30.9
52,2023-01-01,Milwaukie,0.9252495738982225,0.9252495738982225,3411966,0.09739469198928659,0.19478938397857318,80000,0.0,0.0,0,0.0,0.0,0,0,1,0,0,20535,Large,1.8018018018018018,0.0,0.0,0.2921840759678597,1.8991964937910883,0.0,0.0,0.0,0.13416570834017852,18.1,78.2,1.2,10.1,10.499999999999998,102839.0,41.417187163471894,38.3
53,2023-01-01,Monmouth,3.2258064516129035,3.2258064516129035,8678160,0.10080645161290323,0.20161290322580647,500000,0.0,0.0,0,0.0,0.0,0,0,0,0,1,9920,Control,5.040322580645161,0.10080645161290323,0.0,0.0,0.8064516129032259,0.10080645161290323,0.0,0.10080645161290323,0.4365287235900122,21.8,72.5,0.6,17.7,9.2,77933.0,56.04886769964243,29.1
54,2023-01-01,Newberg,4.158868787689748,4.158868787689748,28472042,0.0,0.0,0,0.0,0.0,0,0.041588687876897484,0.24953212726138488,717288,1,0,0,0,24045,Medium,4.782699105843211,0.5822416302765647,0.0,0.08317737575379497,2.4121438968600537,0.041588687876897484,0.0,0.0,0.9724106739032112,22.6,73.5,0.8,16.4,9.3,104399.0,36.60152008686211,38.2
55,2023-01-01,Newport,3.4030140982012638,3.4030140982012638,8586173,0.09722897423432182,0.19445794846864364,100000,0.0,0.0,0,0.09722897423432182,0.583373845405931,1100000,1,0,0,0,10285,Medium,0.7778317938745746,0.2916869227029655,0.0,0.0,0.9722897423432183,0.2916869227029655,0.0,0.48614487117160915,0.2824858757062147,16.4,76.4,0.5,16.0,7.099999999999994,78505.0,38.45308723357504,30.2
56,2023-01-01,North Bend,1.0075566750629723,1.0075566750629723,2305768,0.20151133501259444,0.4030226700251889,862110,0.0,0.0,0,0.0,0.0,0,0,0,0,1,9925,Control,2.2166246851385387,0.0,0.0,0.0,2.0151133501259446,0.0,0.0,0.0,0.2635952094435849,19.1,78.2,1.1,7.2,13.499999999999996,90192.0,40.86895910780669,27.8
57,2023-01-01,Oakridge,3.328290468986384,3.328290468986384,2083139,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,1,3305,Control,2.723146747352496,0.0,0.0,0.0,1.8154311649016641,0.0,0.0,0.0,0.34668053388802217,21.4,94.0,0.0,3.5,2.5,46602.0,35.543403964456594,13.4
58,2023-01-01,Ontario,0.957771005659556,0.957771005659556,3048593,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1,0,0,0,11485,Medium,1.1319111885067479,0.0,0.0,0.0,0.261210274270788,0.0,0.0,0.0,0.1173192550227306,26.3,49.5,0.2,46.9,3.3999999999999986,56795.0,47.46376811594203,16.7
