,date,place,one_unit_bldgs,one_unit_units,one_unit_value,two_unit_bldgs,two_unit_units,two_unit_value,three_unit_bldgs,three_unit_units,three_unit_value,five_unit_bldgs,five_unit_units,five_unit_value,medium,large,large21,control,pop_19,treatment,period
45,2017-01-01,Lincoln City,60,60,11858525,3,6,1064385,0,0,0,0,0,0,0,0,0,1,8795,Control,-4
46,2017-01-01,Lowell,5,5,1080367,0,0,0,0,0,0,0,0,0,0,0,0,1,1090,Control,-4
47,2017-01-01,Lyons,6,6,1018910,0,0,0,0,0,0,0,0,0,0,0,0,1,1200,Control,-4
48,2017-01-01,McMinnville,61,61,14438324,0,0,0,0,0,0,1,16,1251757,0,1,0,0,33930,Large,-4
49,2017-01-01,Medford,343,343,78717443,2,4,592770,4,16,2395494,3,35,3341528,0,1,0,0,81465,Large,-4
50,2017-01-01,Mill City,2,2,526743,0,0,0,0,0,0,0,0,0,0,0,0,1,1880,Control,-4
51,2017-01-01,Millersburg,108,108,29851203,0,0,0,0,0,0,0,0,0,0,0,0,1,2615,Control,-4
52,2017-01-01,Milwaukie,10,10,2945154,0,0,0,0,0,0,0,0,0,0,1,0,0,20535,Large,-4
53,2017-01-01,Monmouth,19,19,5436000,8,16,2705000,2,8,1059000,0,0,0,0,0,0,1,9920,Control,-4
54,2017-01-01,Newberg,88,88,21189072,0,0,0,0,0,0,0,0,0,1,0,0,0,24045,Medium,-4
55,2017-01-01,Newport,15,15,3439954,0,0,0,0,0,0,0,0,0,1,0,0,0,10285,Medium,-4
56,2017-01-01,North Bend,13,13,3430837,0,0,0,0,0,0,0,0,0,0,0,0,1,9925,Control,-4
57,2017-01-01,Oakridge,7,7,662611,0,0,0,0,0,0,0,0,0,0,0,0,1,3305,Control,-4
58,2017-01-01,Ontario,5,5,1050974,0,0,0,0,0,0,0,0,0,1,0,0,0,11485,Medium,-4
59,2017-01-01,Oregon City,120,120,38495749,0,0,0,0,0,0,10,222,23915255,0,1,0,0,35570,Large,-4
60,2017-01-01,Pendleton,18,18,4849408,13,26,4044467,0,0,0,0,0,0,1,0,0,0,17020,Medium,-4
61,2017-01-01,Philomath,6,6,1510853,0,0,0,3,9,1364198,0,0,0,0,0,0,1,4900,Control,-4
62,2017-01-01,Phoenix,4,4,825773,4,8,945523,0,0,0,0,0,0,0,0,0,1,4650,Control,-4
63,2017-01-01,Redmond,311,311,77782523,3,6,1181057,0,0,0,1,6,399000,0,1,0,0,30600,Large,-4
64,2017-01-01,Reedsport,3,3,535481,0,0,0,0,0,0,0,0,0,0,0,0,1,4215,Control,-4
65,2017-01-01,Rogue River,20,20,5480690,0,0,0,0,0,0,0,0,0,0,0,0,1,2235,Control,-4
66,2017-01-01,Sandy,62,62,15833732,2,4,488284,0,0,0,1,9,930780,1,0,0,0,11075,Medium,-4
67,2017-01-01,Scappoose,78,78,20336101,0,0,0,0,0,0,1,5,375000,0,0,0,1,7270,Control,-4
68,2017-01-01,Seaside,17,17,4764797,0,0,0,1,4,412000,0,0,0,0,0,0,1,6585,Control,-4
69,2017-01-01,Sherwood,46,46,16465651,0,0,0,0,0,0,0,0,0,0,1,0,0,19595,Large,-4
70,2017-01-01,Siletz,1,1,275000,0,0,0,0,0,0,0,0,0,0,0,0,1,1235,Control,-4
71,2017-01-01,Silverton,46,46,13718812,3,6,1104681,1,4,425676,5,36,3770278,1,0,0,0,10380,Medium,-4
72,2017-01-01,Springfield,86,86,21141420,1,2,335626,0,0,0,0,0,0,0,1,0,0,61355,Large,-4
73,2017-01-01,St. Helens,24,24,5199861,0,0,0,1,3,432009,0,0,0,1,0,0,0,13410,Medium,-4
74,2017-01-01,Stayton,19,19,5860777,0,0,0,0,0,0,0,0,0,0,0,0,1,7870,Control,-4
75,2017-01-01,Sweet Home,44,44,6365417,0,0,0,0,0,0,0,0,0,0,0,0,1,9340,Control,-4
76,2017-01-01,Talent,10,10,1956596,0,0,0,0,0,0,0,0,0,0,0,0,1,6465,Control,-4
77,2017-01-01,Tangent,4,4,1034117,0,0,0,0,0,0,0,0,0,0,0,0,1,1260,Control,-4
78,2017-01-01,Tigard,426,426,118646921,0,0,0,0,0,0,2,187,27463833,0,1,0,0,53450,Large,-4
79,2017-01-01,Toledo,4,4,631600,0,0,0,0,0,0,0,0,0,0,0,0,1,3490,Control,-4
80,2017-01-01,Troutdale,12,12,3155518,0,0,0,0,0,0,0,0,0,0,1,0,0,16185,Large,-4
81,2017-01-01,Tualatin,22,22,5253189,0,0,0,0,0,0,0,0,0,0,1,1,0,27135,Large,-4
82,2017-01-01,Umatilla,18,18,3735133,0,0,0,0,0,0,0,0,0,0,0,0,1,7470,Control,-4
83,2017-01-01,Veneta,1,1,272961,0,0,0,0,0,0,0,0,0,0,0,0,1,4800,Control,-4
84,2017-01-01,Vernonia,12,12,2839160,0,0,0,0,0,0,0,0,0,0,0,0,1,2095,Control,-4
85,2017-01-01,Waldport,4,4,730000,0,0,0,0,0,0,0,0,0,0,0,0,1,2110,Control,-4
86,2017-01-01,Warrenton,6,6,1267415,3,6,720222,0,0,0,0,0,0,0,0,0,1,5320,Control,-4
87,2017-01-01,West Linn,40,40,18511662,0,0,0,0,0,0,0,0,0,0,1,0,0,25905,Large,-4
88,2017-01-01,Wilsonville,267,267,62455250,0,0,0,0,0,0,0,0,0,0,1,1,0,25635,Large,-4
89,2017-01-01,Wood Village,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4060,Large,-4
90,2017-01-01,Woodburn,2,2,452107,1,2,484500,0,0,0,2,15,2912500,0,1,0,0,25135,Large,-4
91,2018-01-01,Albany,155,155,40140904,1,2,367252,0,0,0,4,67,7616707,0,1,1,0,54120,Large,-3
92,2018-01-01,Ashland,49,49,12402502,0,0,0,0,0,0,0,0,0,1,0,0,0,20960,Medium,-3
93,2018-01-01,Astoria,6,6,2344369,1,2,467794,0,0,0,0,0,0,0,0,0,1,9690,Control,-3
94,2018-01-01,Baker City,23,23,5335512,0,0,0,0,0,0,0,0,0,0,0,0,1,9965,Control,-3
95,2018-01-01,Beaverton,125,125,37854049,0,0,0,0,0,0,0,0,0,0,1,0,0,98255,Large,-3
96,2018-01-01,Bend,865,865,217619756,25,50,7837726,1,3,541400,0,0,0,0,1,1,0,91385,Large,-3
97,2018-01-01,Boardman,9,9,2157263,0,0,0,0,0,0,4,120,11530448,0,0,0,1,4505,Control,-3
98,2018-01-01,Brookings,10,10,2462190,0,0,0,0,0,0,0,0,0,0,0,0,1,6645,Control,-3
99,2018-01-01,Brownsville,2,2,573000,0,0,0,0,0,0,0,0,0,0,0,0,1,1720,Control,-3
100,2018-01-01,Cannon Beach,12,12,4306511,0,0,0,0,0,0,0,0,0,0,0,0,1,1730,Control,-3
101,2018-01-01,Central Point,36,36,8400435,0,0,0,0,0,0,8,100,9894189,1,0,0,0,18365,Medium,-3
102,2018-01-01,Clatskanie,3,3,673327,0,0,0,0,0,0,0,0,0,0,0,0,1,1775,Control,-3
103,2018-01-01,Coburg,11,11,3541099,0,0,0,0,0,0,0,0,0,0,0,0,1,1295,Control,-3
104,2018-01-01,Columbia City,2,2,449518,0,0,0,0,0,0,0,0,0,0,0,0,1,1985,Control,-3
105,2018-01-01,Coos Bay,18,18,4059965,1,2,220000,0,0,0,0,0,0,1,0,0,0,16700,Medium,-3
106,2018-01-01,Cornelius,34,34,7573048,1,2,455080,0,0,0,0,0,0,0,1,0,0,12225,Large,-3
107,2018-01-01,Corvallis,45,45,12715817,1,2,230273,4,14,2710775,8,156,23590304,0,1,0,0,58885,Large,-3
108,2018-01-01,Cottage Grove,22,22,5662664,0,0,0,0,0,0,1,15,469085,1,0,0,0,10140,Medium,-3
109,2018-01-01,Creswell,28,28,7389922,0,0,0,0,0,0,0,0,0,0,0,0,1,5510,Control,-3
110,2018-01-01,Dallas,144,144,34342686,0,0,0,0,0,0,0,0,0,1,0,0,0,16260,Medium,-3
111,2018-01-01,Dayton,7,7,2159559,0,0,0,0,0,0,0,0,0,0,0,0,1,2740,Control,-3
112,2018-01-01,Depoe Bay,10,10,2298600,0,0,0,0,0,0,0,0,0,0,0,0,1,1445,Control,-3
113,2018-01-01,Dundee,5,5,1413810,0,0,0,0,0,0,0,0,0,0,0,0,1,3235,Control,-3
114,2018-01-01,Dunes City,8,8,1679189,0,0,0,0,0,0,0,0,0,0,0,0,1,1345,Control,-3
115,2018-01-01,Durham,1,1,410342,0,0,0,0,0,0,0,0,0,0,1,0,0,1885,Large,-3
116,2018-01-01,Eagle Point,100,100,25233609,0,0,0,0,0,0,0,0,0,0,0,0,1,9260,Control,-3
